[10.254446029663086, 2.4248251914978027]
[6.699888706207275, 1.5462266206741333]
Glass1 Predictions mean: 2.27, min: 2.04, max: 2.42, range: 0.39 - Actual: 0.2
Glass1 Predictions mean: 2.23, min: 2.03, max: 2.44, range: 0.41 - Actual: 0.2
Glass1 Predictions mean: 2.24, min: 2.03, max: 2.42, range: 0.4 - Actual: 0.2
Glass1 Predictions mean: 2.25, min: 2.06, max: 2.39, range: 0.33 - Actual: 0.2
Glass1 Predictions mean: 2.25, min: 2.06, max: 2.39, range: 0.33 - Actual: 0.2
Glass1 Predictions mean: 2.25, min: 2.06, max: 2.39, range: 0.33 - Actual: 0.2
Glass1 Predictions mean: 2.24, min: 2.02, max: 2.43, range: 0.41 - Actual: 0.2
Glass1 Predictions mean: 2.23, min: 2.03, max: 2.42, range: 0.39 - Actual: 0.2
Glass1 Predictions mean: 2.22, min: 2.05, max: 2.41, range: 0.36 - Actual: 0.2
Glass1 Predictions mean: 2.23, min: 2.03, max: 2.44, range: 0.41 - Actual: 0.2
Glass1 Predictions mean: 2.22, min: 2.06, max: 2.39, range: 0.33 - Actual: 0.2
Glass1 Predictions mean: 2.22, min: 2.05, max: 2.38, range: 0.33 - Actual: 0.2
Glass1 Predictions mean: 2.22, min: 2.04, max: 2.42, range: 0.37 - Actual: 0.2
Glass1 Predictions mean: 2.23, min: 2.03, max: 2.44, range: 0.41 - Actual: 0.2
Glass1 Predictions mean: 2.24, min: 2.03, max: 2.44, range: 0.4 - Actual: 0.2
Glass1 Predictions mean: 2.22, min: 2.04, max: 2.41, range: 0.36 - Actual: 0.2
Glass1 Predictions mean: 2.23, min: 2.03, max: 2.42, range: 0.39 - Actual: 0.2
Glass1 Predictions mean: 2.23, min: 2.02, max: 2.44, range: 0.41 - Actual: 0.2
Glass1 Predictions mean: 2.27, min: 2.04, max: 2.43, range: 0.39 - Actual: 0.2
Glass1 Predictions mean: 2.25, min: 2.03, max: 2.42, range: 0.39 - Actual: 0.2
Glass1 Predictions mean: 2.26, min: 2.04, max: 2.42, range: 0.39 - Actual: 0.2
Glass1 Predictions mean: 2.22, min: 2.05, max: 2.38, range: 0.33 - Actual: 0.2
Glass1 Predictions mean: 2.22, min: 2.05, max: 2.39, range: 0.33 - Actual: 0.2
Glass1 Predictions mean: 2.23, min: 2.03, max: 2.43, range: 0.4 - Actual: 0.2
Glass1 Predictions mean: 2.23, min: 2.02, max: 2.44, range: 0.41 - Actual: 0.2
Glass1 Predictions mean: 2.16, min: 1.84, max: 2.48, range: 0.64 - Actual: 0.2
Glass1 Predictions mean: 2.17, min: 1.84, max: 2.49, range: 0.65 - Actual: 0.2
Glass1 Predictions mean: 2.19, min: 1.84, max: 2.46, range: 0.62 - Actual: 0.2
Glass1 Predictions mean: 2.19, min: 1.85, max: 2.46, range: 0.61 - Actual: 0.2
Glass1 Predictions mean: 2.19, min: 1.85, max: 2.46, range: 0.62 - Actual: 0.2
Glass1 Predictions mean: 2.19, min: 1.84, max: 2.47, range: 0.62 - Actual: 0.2
Glass1 Predictions mean: 2.19, min: 1.84, max: 2.48, range: 0.64 - Actual: 0.2
Glass1 Predictions mean: 2.16, min: 1.81, max: 2.48, range: 0.67 - Actual: 0.2
Glass1 Predictions mean: 2.19, min: 1.85, max: 2.47, range: 0.63 - Actual: 0.2
Glass1 Predictions mean: 2.2, min: 1.84, max: 2.49, range: 0.64 - Actual: 0.2
Glass1 Predictions mean: 2.19, min: 1.84, max: 2.46, range: 0.62 - Actual: 0.2
Glass1 Predictions mean: 2.19, min: 1.85, max: 2.47, range: 0.63 - Actual: 0.2
Glass1 Predictions mean: 2.19, min: 1.84, max: 2.46, range: 0.62 - Actual: 0.2
Glass1 Predictions mean: 2.19, min: 1.84, max: 2.48, range: 0.63 - Actual: 0.2
Plastic1 Predictions mean: 2.22, min: 1.84, max: 2.54, range: 0.7 - Actual: 0.9
Plastic1 Predictions mean: 2.22, min: 1.84, max: 2.54, range: 0.7 - Actual: 0.9
Plastic1 Predictions mean: 2.22, min: 1.84, max: 2.54, range: 0.7 - Actual: 0.9
Plastic1 Predictions mean: 2.21, min: 1.84, max: 2.54, range: 0.71 - Actual: 0.9
Plastic1 Predictions mean: 2.21, min: 1.83, max: 2.54, range: 0.71 - Actual: 0.9
Plastic1 Predictions mean: 2.21, min: 1.84, max: 2.54, range: 0.71 - Actual: 0.9
Plastic1 Predictions mean: 2.15, min: 1.84, max: 2.59, range: 0.75 - Actual: 0.9
Plastic1 Predictions mean: 2.16, min: 1.83, max: 2.54, range: 0.72 - Actual: 0.9
Plastic1 Predictions mean: 2.19, min: 1.83, max: 2.54, range: 0.71 - Actual: 0.9
